Initial,Final,Cost Function,Algorithm,Objective Found,Path Cost,Generated Nodes,Visited Nodes
"(7,6)","(15,15)",c2,DFS,True,2610,1013,258
"(7,6)","(15,15)",c2,BFS,True,210,1521,390
"(7,6)","(15,15)",c2,Dijkstra,True,210,779,383
"(7,6)","(15,15)",c3,DFS,True,2592,1013,258
"(7,6)","(15,15)",c3,BFS,True,186,1521,390
"(7,6)","(15,15)",c3,Dijkstra,True,176,752,371
"(7,6)","(15,15)",c4,DFS,True,2569,1013,258
"(7,6)","(15,15)",c4,BFS,True,166,1521,390
"(7,6)","(15,15)",c4,Dijkstra,True,146,739,365
"(26,10)","(17,9)",c1,DFS,True,3100,1799,473
